model.size,set,loss,error.percent
0,subtrain,0.676896087686436,41.0103204780011
0,validation,0.664266429394875,37.536231884058
0,test,0.670061974704576,39.1304347826087
1,subtrain,0.517677809496329,22.0532319391635
1,validation,0.511901107337412,20
1,test,0.558703294577709,21.6666666666667
2,subtrain,0.441708380557906,19.5545898967952
2,validation,0.431251676947966,18.0434782608696
2,test,0.492219006118992,19.5652173913043
3,subtrain,0.384899596446533,14.5029875067898
3,validation,0.371918749782295,12.8260869565217
3,test,0.433451867865387,15.4347826086957
4,subtrain,0.349790408299159,13.959804454101
4,validation,0.338415339150255,12.1739130434783
4,test,0.399848250189261,14.1304347826087
5,subtrain,0.328445272384082,13.090711569799
5,validation,0.316446391910096,11.4492753623188
5,test,0.371182177929381,12.8985507246377
6,subtrain,0.309979102837104,12.4932102118414
6,validation,0.304542257849578,11.1594202898551
6,test,0.356563880865786,12.536231884058
7,subtrain,0.295455477988121,11.5697990222705
7,validation,0.290840106633158,9.92753623188406
7,test,0.352476351790613,11.7391304347826
8,subtrain,0.267860452499863,11.1352525801195
8,validation,0.263603710224428,9.20289855072464
8,test,0.331542639411319,11.4492753623188
9,subtrain,0.256867791067661,10.3204780010864
9,validation,0.243660176460286,8.33333333333333
9,test,0.309403923749455,9.92753623188406
10,subtrain,0.247812412973592,9.94024986420424
10,validation,0.278148286729388,9.05797101449275
10,test,0.29377568329692,9.49275362318841
11,subtrain,0.242873111828291,9.45138511678436
11,validation,0.268146636836215,9.1304347826087
11,test,0.28330611596467,9.63768115942029
12,subtrain,0.238561872071213,9.50570342205323
12,validation,0.262467731419608,8.76811594202898
12,test,0.276472799897629,9.49275362318841
13,subtrain,0.234718226965079,9.23411189570885
13,validation,0.259752330411651,8.47826086956522
13,test,0.274323333440398,8.84057971014493
14,subtrain,0.229466037599539,9.28843020097773
14,validation,0.26108114289022,8.47826086956522
14,test,0.271976149602681,9.27536231884058
15,subtrain,0.225691338327708,9.07115697990223
15,validation,0.255120396403981,8.04347826086957
15,test,0.269984506940982,9.27536231884058
16,subtrain,0.222189139321394,8.58229223248235
16,validation,0.255340764485502,7.97101449275362
16,test,0.265481457940994,8.69565217391304
17,subtrain,0.219500085822711,8.58229223248235
17,validation,0.254077893072322,7.97101449275362
17,test,0.263302857440684,9.05797101449275
18,subtrain,0.216999117664242,8.52797392721347
18,validation,0.288799071639672,7.97101449275362
18,test,0.26258909670115,8.84057971014493
19,subtrain,0.214901862544406,8.58229223248235
19,validation,0.285288141963851,8.11594202898551
19,test,0.25494792222031,8.55072463768116
20,subtrain,0.213238407936746,8.47365562194459
20,validation,0.279183874315882,8.11594202898551
20,test,0.252642097611333,8.33333333333333
21,subtrain,0.211667260320919,8.36501901140684
21,validation,0.278283601356095,8.11594202898551
21,test,0.253294502679486,8.40579710144928
22,subtrain,0.210209151555714,8.25638240086909
22,validation,0.278460447028405,8.18840579710145
22,test,0.255614386235931,8.47826086956522
23,subtrain,0.208770724686768,8.20206409560022
23,validation,0.276500749716111,8.18840579710145
23,test,0.255262832184913,8.33333333333333
24,subtrain,0.20740491035692,8.20206409560022
24,validation,0.27774500003203,8.47826086956522
24,test,0.255582285833088,8.40579710144928
25,subtrain,0.206029520348527,8.20206409560022
25,validation,0.276188101172181,8.55072463768116
25,test,0.255289242983622,8.84057971014493
26,subtrain,0.204473519549343,8.03910917979359
26,validation,0.274257065805444,8.40579710144928
26,test,0.252703106021241,8.47826086956522
27,subtrain,0.203135009102524,7.76751765344921
27,validation,0.276339190420329,8.26086956521739
27,test,0.249062682307048,8.04347826086957
28,subtrain,0.201853698152474,7.93047256925584
28,validation,0.274961245659766,8.26086956521739
28,test,0.246968518457841,8.11594202898551
29,subtrain,0.200688978887947,7.93047256925584
29,validation,0.27471790645072,7.97101449275362
29,test,0.246180049126875,7.97101449275362
30,subtrain,0.199527406378407,7.71319934818034
30,validation,0.276703231225618,7.97101449275362
30,test,0.244539793498514,7.7536231884058
31,subtrain,0.198727876340305,7.76751765344921
31,validation,0.273909794067074,8.18840579710145
31,test,0.241504819990619,8.18840579710145
32,subtrain,0.197918825548843,7.82183595871809
32,validation,0.2752944054115,7.89855072463768
32,test,0.23916302884171,8.11594202898551
33,subtrain,0.197139886433034,7.82183595871809
33,validation,0.276676533504581,7.89855072463768
33,test,0.238268448598581,7.60869565217391
34,subtrain,0.196437701232904,7.87615426398696
34,validation,0.275598645411681,8.11594202898551
34,test,0.233702948378985,7.7536231884058
35,subtrain,0.195846335308058,7.93047256925584
35,validation,0.274421279167892,8.18840579710145
35,test,0.23246745508251,7.7536231884058
36,subtrain,0.195320642457755,7.76751765344921
36,validation,0.272558840404227,7.89855072463768
36,test,0.233983298898877,7.60869565217391
37,subtrain,0.194870912097952,7.76751765344921
37,validation,0.273562634771772,8.26086956521739
37,test,0.234033789577526,7.7536231884058
38,subtrain,0.194489725314769,7.71319934818034
38,validation,0.381294295222357,8.26086956521739
38,test,0.302594457024947,7.89855072463768
39,subtrain,0.194153877922822,7.76751765344921
39,validation,0.380862120676116,8.26086956521739
39,test,0.303441581493414,7.89855072463768
40,subtrain,0.193840646199862,7.60456273764259
40,validation,0.381414038336571,8.26086956521739
40,test,0.303522005716732,7.89855072463768
41,subtrain,0.193532814173323,7.65888104291146
41,validation,0.382046849662111,8.26086956521739
41,test,0.303597201725122,8.04347826086957
42,subtrain,0.193317605391344,7.71319934818034
42,validation,0.381297664299409,8.33333333333333
